BomCodeId,GoodsId
4,13392
4,13394
4,13395
4,13396
4,13399
4,13401
4,16620
4,18678
4,18832
4,31135
4,32669
4,32759
4,36950
4,37046
4,37665
4,46277
4,46278
4,46279
4,46280
4,46281
4,46282
4,46283
4,46284
4,46285
5,22942
5,22943
5,22944
5,22945
5,22946
5,22947
5,22948
5,22949
5,22950
5,30948
5,32732
5,32839
5,36961
6,22960
6,22961
6,22962
6,22964
6,22966
6,22967
6,22968
6,22972
6,22974
6,30953
6,32734
6,32841
6,36963
6,37054
7,23111
7,23112
7,23113
7,23114
7,23115
7,23116
7,23117
7,23118
7,23119
7,31146
7,32676
7,32766
7,37668
7,46295
7,46296
7,46297
7,46298
7,46299
7,46300
7,46301
7,46302
7,46303
8,13296
8,31072
8,39826
9,13299
9,31075
9,39832
10,13292
10,39831
10,46313
11,13293
11,31079
11,41043
11,46314
12,16820
12,30946
13,13259
13,30951
14,31213
14,38356
14,41017
14,46315
15,16822
15,30944
15,32169
15,32170
15,32171
15,32173
15,32175
15,32176
15,32177
15,32178
15,32179
15,32180
15,36956
15,37690
15,46316
15,46317
15,46318
15,46319
15,46320
15,46321
15,46322
16,4695
16,4696
16,4697
16,4698
16,4701
16,4703
16,6027
16,6028
16,16627
16,18668
16,18822
16,30904
16,32705
16,32827
16,36927
16,37706
16,43326
16,46347
16,46348
16,46349
16,46350
16,46351
16,46352
16,46353
17,13414
17,13416
17,13417
17,13418
17,13421
17,13423
17,16628
17,18680
17,18834
17,31137
17,32671
17,32672
17,36952
17,37048
17,37671
17,46380
17,46381
17,46382
17,46383
17,46384
17,46385
17,46386
17,46387
17,46388
18,13425
18,13427
18,13428
18,13429
18,13432
18,13434
18,16629
18,18687
18,18841
18,31138
18,32590
18,32673
18,36953
18,37049
18,37672
18,46389
18,46390
18,46391
18,46392
18,46393
18,46394
18,46395
18,46396
18,46397
19,13436
19,13438
19,13439
19,13440
19,13443
19,13445
19,16630
19,18684
19,18838
19,31139
19,32591
19,32761
19,36954
19,37050
19,37673
19,46398
19,46399
19,46400
19,46401
19,46402
19,46403
19,46404
19,46405
19,46406
20,13467
20,13469
20,13470
20,13472
20,13474
20,16631
20,18689
20,18843
20,19817
20,31142
20,32768
20,32816
20,37674
20,46407
20,46408
20,46409
20,46410
20,46411
20,46412
20,46413
20,46414
20,46415
21,22951
21,22952
21,22953
21,22954
21,22955
21,22956
21,22957
21,22958
21,22959
21,30949
21,32733
21,32840
21,36962
22,22975
22,22976
22,22977
22,22979
22,22981
22,22982
22,22983
22,22987
22,22988
22,30954
22,32735
22,32842
22,36964
23,23120
23,23121
23,23122
23,23123
23,23124
23,23125
23,23126
23,23127
23,23128
23,31151
23,32592
23,32770
23,37675
23,46416
23,46417
23,46418
23,46419
23,46420
23,46421
23,46422
23,46423
23,46424
24,13297
24,31073
24,39823
25,13300
25,31076
25,39836
26,13308
26,31077
26,39846
27,13303
27,31080
27,39895
27,46444
28,13304
28,31081
28,39889
28,46445
29,13305
29,31082
29,41014
29,46446
30,16821
30,30947
31,13261
31,30952
32,23363
32,31057
32,38357
32,46447
33,16823
33,30945
33,32183
33,32184
33,32185
33,32186
33,32187
33,32188
33,32189
33,32190
33,32191
33,32192
33,36957
33,37691
33,46448
33,46449
33,46450
33,46451
33,46452
33,46453
33,46454
34,13447
34,13449
34,13450
34,13451
34,13454
34,13456
34,16638
34,18682
34,18836
34,31140
34,32674
34,32762
34,36955
34,37051
34,37679
34,46492
34,46493
34,46494
34,46495
34,46496
34,46497
34,46498
34,46499
34,46500
34,46501
34,46502
34,46512
35,13476
35,13478
35,13479
35,13481
35,13483
35,16639
35,18690
35,18844
35,19818
35,31143
35,32593
35,32817
35,37680
36,13298
36,31074
36,39821
37,13311
37,31083
38,23364
38,31058
38,38358
38,46513
39,20306
39,20307
39,20308
39,20309
39,20310
39,20311
39,20312
39,20313
39,20314
39,20315
39,20316
39,30922
39,32660
39,32661
39,37692
39,43334
39,43335
39,46548
39,46549
39,46550
39,46551
39,46552
39,46553
39,46554
40,20317
40,20318
40,20319
40,20320
40,20321
40,20322
40,20323
40,20324
40,20325
40,20326
40,20327
40,30923
40,32662
40,32663
40,37693
40,43336
40,43337
40,46570
40,46572
40,46575
40,46578
40,46581
40,46582
40,46583
41,257
41,259
41,260
41,261
41,262
41,11359
41,16642
41,16899
41,16900
41,18659
41,18813
41,30914
41,32587
41,32903
41,37694
41,46588
41,46594
41,46599
41,46603
41,46606
41,46610
41,46613
42,271
42,273
42,274
42,275
42,276
42,11398
42,16643
42,16901
42,16902
42,18660
42,18814
42,30915
42,32588
42,32589
42,37695
42,43338
42,43339
42,46629
42,46634
42,46657
42,46660
42,46664
42,46667
42,46670
43,278
43,280
43,281
43,282
43,283
43,11399
43,16644
43,16903
43,16904
43,18661
43,18815
43,30916
43,32778
43,32835
43,37696
43,43340
43,43341
43,46706
43,46712
43,46716
43,46721
43,46724
43,46726
43,46728
44,285
44,287
44,288
44,289
44,290
44,11400
44,16645
44,16905
44,16906
44,18662
44,18816
44,30917
44,32714
44,32779
44,37697
45,313
45,315
45,316
45,317
45,318
45,11403
45,16648
45,16911
45,16912
45,18665
45,18819
45,30920
45,32715
45,32780
45,44275
46,320
46,322
46,323
46,324
46,3998
46,11404
46,16649
46,16913
46,16914
46,18666
46,18820
46,30921
46,32716
46,32717
46,37698
47,326
47,328
47,329
47,330
47,331
47,11405
47,16650
47,18667
47,18821
47,30956
47,32742
47,32743
47,37699
48,4843
48,4844
48,4845
48,4847
48,4848
48,4850
48,16654
48,30937
48,32664
48,32727
48,34486
48,34487
48,34488
48,34489
48,34490
48,34491
48,34492
48,34493
48,34504
48,37700
49,20147
49,20149
49,20151
49,20152
49,20153
49,20155
49,20157
49,30939
49,32665
49,32783
49,34478
49,34479
49,34480
49,34481
49,34482
49,34483
49,34484
49,34485
49,34507
49,37701
49,43344
49,43345
50,20202
50,20203
50,20204
50,20205
50,20206
50,20207
50,20208
50,20209
50,20210
50,30793
50,32730
50,32837
51,20211
51,20212
51,20213
51,20214
51,20215
51,20216
51,20217
51,20218
51,20219
51,30794
51,32731
51,32838
51,39632
53,32565
54,332
54,30813
55,333
55,30814
56,334
56,30815
57,32139
57,34499
58,4913
58,30841
59,32140
60,32539
60,34500
61,32540
61,34501
62,32541
63,32542
63,34309
63,34502
64,32543
64,34310
65,4932
66,4911
66,30838
66,34497
67,4912
67,30839
67,34498
68,11481
68,16807
68,18699
68,18853
68,30843
69,12065
69,16808
69,18700
69,18854
69,30844
70,12066
70,16809
70,18701
70,18855
70,31070
71,16810
71,18702
71,18856
71,30848
72,16811
72,18703
72,18857
72,30849
73,12072
73,16812
73,18704
73,18858
73,30845
74,16813
74,18705
74,18859
74,30850
75,12076
75,16814
75,18706
75,18860
75,30846
76,11479
76,11480
76,12056
76,12057
76,12104
76,12106
76,16815
76,18707
76,18861
76,30842
76,32599
76,46713
76,46714
76,46715
76,46717
76,46718
76,46719
76,46722
77,12061
77,16816
77,18708
77,18862
77,30792
77,32600
78,12080
78,18709
78,18863
78,30847
79,18552
79,18864
79,18865
79,30851
80,20343
80,30959
81,20344
81,30960
82,20345
82,30961
84,20369
84,31084
85,20372
85,31087
86,20364
86,30984
87,20375
87,31059
88,20378
88,31062
89,20362
89,30982
90,20366
90,30990
91,20381
91,30988
92,20346
92,30962
93,20347
93,30963
94,20348
94,30964
95,20349
95,30965
96,20350
96,30966
97,20370
97,31085
98,20373
98,31088
99,20365
99,30985
100,20376
100,31060
101,20379
101,31063
102,20363
102,30983
103,20367
103,30991
104,20382
104,30989
105,20351
105,30967
106,20352
106,30968
107,20353
107,30969
108,20371
108,31086
109,20374
109,31089
110,20377
110,31061
110,33058
111,20380
111,31064
112,20368
112,30992
113,20354
113,30970
114,20355
114,30971
115,20356
115,30973
116,20357
116,30974
117,20358
117,30972
118,20359
118,30978
118,33984
119,20360
119,30979
119,32658
119,32659
120,20361
120,30980
121,20383
121,30981
122,349
122,351
122,352
122,353
122,355
122,357
122,6030
122,6075
122,16670
122,18629
122,18783
122,30898
122,32702
122,32823
122,36926
122,37702
122,43324
122,46271
122,46272
122,46273
122,46274
122,46275
122,46276
123,361
123,363
123,364
123,365
123,367
123,369
123,6031
123,6032
123,16671
123,18633
123,18787
123,30899
123,32704
123,32824
123,36924
123,37703
124,373
124,375
124,376
124,377
124,382
124,384
124,6033
124,6034
124,16672
124,18636
124,18790
124,30900
124,32683
124,32703
124,36925
124,37704
125,388
125,390
125,391
125,392
125,397
125,399
125,16673
125,18645
125,18799
125,30942
125,32736
125,32843
125,36958
125,37687
125,46323
125,46324
125,46325
125,46326
125,46327
125,46328
125,46329
125,46330
125,46331
125,46332
126,464
126,466
126,467
126,468
126,469
126,3017
126,16678
126,18651
126,18805
126,30830
126,32744
126,46333
126,46334
126,46335
126,46336
126,46337
126,46338
126,46339
129,473
129,475
129,476
129,477
129,479
129,481
129,6035
129,6036
129,16679
129,18630
129,18784
129,30901
129,32148
129,32149
129,36928
129,37705
129,43327
129,46354
129,46355
129,46356
129,46357
129,46358
129,46359
129,46360
130,484
130,486
130,487
130,488
130,489
130,3040
130,6037
130,6038
130,14331
130,16680
130,18658
130,18812
130,32150
130,32151
130,36929
130,37707
130,43328
130,46361
130,46362
130,46363
130,46364
130,46365
130,46366
130,46367
131,3053
131,18652
131,18806
131,30834
135,513
135,515
135,516
135,517
135,519
135,521
135,6039
135,6040
135,16682
135,18631
135,18785
135,30906
