id,BomCode,BomCodeName,CanPacking,Remark,LastUpdatedDateTime,NeedPicking
8558,FKFB1804L,"厨柜18mm地柜左侧板(四○,K3)",0,,2017-03-09 19:08:06.67,
8559,FKFB1801R,厨柜18mm地柜右侧板(四○),0,,2017-03-09 19:08:06.673,
8560,FKFB1802R,"厨柜18mm地柜右侧板(四K○,K1)",0,,2017-03-09 19:08:06.673,
8561,FKFB1803R,"厨柜18mm地柜右侧板(四K○,K3)",0,,2017-08-09 11:33:56.723,
8562,FKFB1804R,"厨柜18mm地柜右侧板(四○,K3)",0,,2017-03-09 19:08:06.68,
8563,FKFE1801,厨柜18mm地柜下固层(四○),0,,2017-03-09 19:08:06.68,
8564,FKFE1802,"厨柜18mm地柜下固层(四K○,K1)",0,,2017-03-09 19:08:06.683,
8565,FKFE1803,"厨柜18mm地柜下固层(四K○,K3)",0,,2017-03-09 19:08:06.683,
8566,FKFE1804,"厨柜18mm地柜下固层(四○,K3)",0,,2017-03-09 19:08:06.687,
8567,FKMB1801L,厨柜18mm中高柜左侧板(四○),0,,2017-03-09 19:08:06.69,
8568,FKMB1802L,"厨柜18mm中高柜左侧板(四K○,K1)",0,,2017-03-09 19:08:06.69,
8569,FKMB1803L,"厨柜18mm中高柜左侧板(四K○,K3)",0,,2017-03-09 19:08:06.693,
8570,FKMB1804L,"厨柜18mm中高柜左侧板(四○,K3)",0,,2017-03-09 19:08:06.697,
8571,FKMB1801R,厨柜18mm中高柜右侧板(四○),0,,2017-03-09 19:08:06.697,
8572,FKMB1802R,"厨柜18mm中高柜右侧板(四K○,K1)",0,,2017-03-09 19:08:06.7,
8573,FKMB1803R,"厨柜18mm中高柜右侧板(四K○,K3)",0,,2017-03-09 19:08:06.7,
8574,FKMB1804R,"厨柜18mm中高柜右侧板(四○,K3)",0,,2017-03-09 19:08:06.703,
8575,FKME1801,厨柜18mm中高柜下固层(四○),0,,2017-03-09 19:08:06.707,
8576,FKME1802,"厨柜18mm中高柜下固层(四K○,K1)",0,,2017-03-09 19:08:06.707,
8577,FKMD1801,厨柜18mm中高柜上固层(四○),0,,2017-03-09 19:08:06.71,
