Id,Code,Name,OrderIndex,Remark,IsDeleted,UpdatedDateTime,CreatedDateTime
57,1H2L△,一长两短厚边,140,,0,2011-02-23 10:37:09.553,2011-02-23 10:37:09.553
58,1H1L△1H1L,=,121,,1,2011-02-23 14:04:45.25,2011-02-23 14:04:45.25
59,1H2L△41,一长两短厚边，宽封边41,146,,0,2011-02-23 14:05:36.123,2011-02-23 14:05:36.123
60,"2H1L△1LK,K3",二长一短厚边、一短薄边，开槽、做形,262,,0,2011-03-30 20:40:14.483,2011-03-30 20:40:14.483
61,"1H2L,K3",一长两短薄边，切斜,132,,0,2011-04-17 21:00:09.78,2011-04-17 21:00:09.78
62,1H△2L,一长厚边、二短薄边,118,,0,2011-04-18 08:19:09.76,2011-04-18 08:19:09.76
63,"2H△,K3",二长厚边，开槽或做形,211,,0,2011-04-26 15:54:46.36,2011-04-26 15:54:46.36
64,2H1L△,二长一短厚边,250,,0,2011-05-07 08:22:09.03,2011-05-07 08:22:09.03
65,2H1L,二长一短薄边,240,,0,2011-05-07 08:22:34.35,2011-05-07 08:22:34.35
66,"1H,K1",一长薄边，开槽,102,K1表示开槽,0,1753-01-01 00:00:00.0,2011-05-07 11:06:13.067
67,"2H,K1",二长薄边，开槽,202,,0,2011-05-07 11:07:30.85,2011-05-07 11:07:30.85
68,1L△2H1L,一短厚边、二长一短薄边,180,,0,2011-05-16 17:25:11.34,2011-05-16 17:25:11.34
69,2H18,宽封边收口18,230,10mm板一边封10mm封边，一边封18mm宽封边,0,1753-01-01 00:00:00.0,2011-11-08 10:14:27.35
70,2H28,宽封边收口28,231,18mm板一边封18mm封边，一边封28mm宽封边,0,2011-11-08 10:17:40.277,2011-11-08 10:17:40.277
71,2H1L△1L,二长一短厚边、一短薄边,260,,0,1753-01-01 00:00:00.0,2012-05-09 09:08:41.837
72,1L△2H1L,一厚三薄,502,,1,2012-05-29 15:40:25.987,2012-05-29 15:40:25.987
73, ,,1,,1,2012-07-06 11:04:10.02,2012-07-06 11:04:10.02
74, ,,999,,1,2012-07-06 11:34:12.91,2012-07-06 11:34:12.91
75,0,不封边,500,,1,2012-07-06 14:08:18.94,2012-07-06 14:08:18.94
