Id,Name,OrderIndex,UpdatedDateTime,CreatedDateTime,IsDeleted,Remark,EdgeBandingColor,Color2020,PriorityFlag,PaintGoods,IsOrder,EPType
53,902S,9021,2017-06-01 10:08:12.0,2011-03-30 14:03:29.303,1,Å¯°×É«,903,,,N,1,2
54,903S,9031,2017-06-01 10:08:31.36,2011-03-30 14:03:53.953,0,Å¯°×Ë¨Ä¾,903,,,N,1,2
55,960S,9601,2017-06-01 10:09:18.03,2011-03-30 14:04:11.47,0,»ÒÏðÄ¾,960,,,N,1,2
56,990S,9901,2017-06-01 10:10:49.507,2011-03-30 14:04:29.88,0,»¨ÀæÄ¾,990,,,N,1,2
57,201S,2011,2017-06-01 10:04:24.407,2011-03-30 14:20:13.447,0,·ÂÕæÎÚÄ¾×Ø,201,,,N,1,2
58,206S,2061,2017-06-01 10:05:52.703,2011-04-01 14:47:28.62,0,ºìÏðÄ¾,206,,,N,1,2
59,208S,4,2016-04-14 09:24:45.0,2011-04-01 14:47:49.133,1,¹ÅÏðÄ¾,208,,,N,1,
60,202S,2021,2017-06-01 10:04:55.09,2011-04-01 14:48:51.16,0,Ó£ÌÒºì,202,,,N,1,2
61,203S,14,2016-04-14 09:31:01.0,2011-04-01 14:49:13.407,1,ÏóÑÀ°×,203,,,N,1,
62,°×ÏðÄ¾,34,2012-07-05 08:34:33.0,2011-04-11 08:18:27.053,1,°×ÏðÄ¾,,,,N,1,
63,MX206,35,2012-07-05 08:34:31.0,2011-04-20 15:15:13.707,1,¹¤³Ìµ¥»¨É«,,,,N,1,
64,935,36,2012-07-05 08:34:26.0,2011-04-23 11:35:03.937,1,935,,,,N,1,
65,915,37,2012-07-05 08:34:24.0,2011-04-26 16:13:58.007,1,915,,,,N,1,
66,115P,1151,2017-06-01 10:24:06.523,2011-05-06 15:17:54.2,0,Ã×°×É«,115,,,N,1,2
67,923,9230,2017-06-01 10:20:49.373,2011-05-18 15:43:34.867,0,ºÚÉ«°å,,,,N,1,2
68,40221-BS,39,2012-07-05 08:34:20.0,2011-05-24 17:34:13.837,1,40221-BS,,,,N,1,
69,ËØ°å,40,2012-07-05 22:40:33.0,2011-07-14 16:43:43.427,1,ËØ°å,,,,N,1,
70,982,9820,2017-06-01 10:14:24.007,2011-07-25 20:52:26.113,0,Ç³É«²¼ÎÆ,982,,,N,1,2
71,982S,9821,2017-06-01 10:14:29.583,2011-07-25 20:52:47.157,0,Ç³É«²¼ÎÆ,982,,,N,1,2
72,981,9810,2017-06-01 10:11:51.357,2011-07-25 20:53:15.113,0,ÉîÉ«²¼ÎÆ,981,,,N,1,2
73,981S,9811,2017-06-01 10:12:56.043,2011-07-25 20:53:34.083,0,ÉîÉ«²¼ÎÆ,981,,,N,1,2
74,209,45,2014-08-21 08:59:23.0,2011-09-07 16:42:02.73,1,Ô­Ä¾É«,209,,,N,1,
75,318,46,2014-08-21 08:59:29.0,2011-09-07 16:43:32.74,1,Ç³Ó£ÌÒÉ«,318,,,N,1,
76,118,36,2016-08-24 14:46:48.0,2012-06-27 15:35:14.33,1,Í¸Ã÷É«,921,,,N,1,2
77,120,47,2016-08-24 14:36:06.0,2012-06-27 15:36:02.97,1,ºìÉ«,102P,,,N,1,
78,130,48,2016-08-24 14:36:08.0,2012-06-27 15:36:28.807,1,À¶É«,105P,,,N,1,
79,A24,71240,2017-05-31 17:52:57.027,2012-06-30 08:20:39.273,0,40221,A24,,,N,1,2
80,A24S,71241,2017-05-31 17:53:02.367,2012-06-30 09:58:51.27,0,40221S,A24,,,N,1,2
81,A52,71520,2017-05-31 17:48:17.303,2012-06-30 16:52:01.667,0,1033GC,A52,,,N,1,2
82,A52S,71521,2017-05-31 17:48:22.83,2012-06-30 16:52:30.167,0,1033GCS,A52,,,N,1,2
83,B40,72400,2017-05-31 17:25:48.123,2012-07-01 09:21:39.057,0,2078GC,B40,,,N,1,2
84,A57,71570,2017-05-31 17:46:33.48,2012-07-01 09:45:59.84,0,1044GC,A57,,,N,1,2
85,A01,71010,2017-05-31 18:00:48.5,2012-07-01 10:38:53.957,0,216,A01,,,N,1,2
86,A01S,71011,2017-05-31 18:00:53.327,2012-07-01 10:40:58.163,0,216S,A01,,,N,1,2
87,B43,72430,2017-05-31 17:24:50.943,2012-07-01 10:41:43.95,0,2058GC(MX),B43,,,N,1,2
88,A02,71020,2017-05-31 18:00:20.657,2012-07-01 10:42:15.04,0,318,A02,,,N,1,2
89,A02S,71021,2017-05-31 18:00:27.173,2012-07-01 10:43:05.927,0,318,A02,,,N,1,2
90,A03,71030,2017-05-31 17:59:36.24,2012-07-01 10:43:29.173,0,505,A03,,,N,1,2
91,B43S,72431,2017-05-31 17:25:00.04,2012-07-01 14:03:02.483,0,2058GCS(MX),B43,,,N,1,2
92,A03S,71031,2017-05-31 17:59:41.923,2012-07-01 14:13:08.793,0,505S,A03,,,N,1,2
93,A04,71040,2017-05-31 17:58:55.493,2012-07-01 14:13:35.423,0,512,A04,,,N,1,2
94,A04S,71041,2017-05-31 17:59:00.43,2012-07-01 14:14:10.413,0,512S,A04,,,N,1,2
95,A05,71050,2017-05-31 17:58:43.587,2012-07-01 14:15:13.89,0,556,A05,,,N,1,2
96,A05S,71051,2017-05-31 17:58:48.833,2012-07-01 14:16:33.467,0,556S,A05,,,N,1,2
97,A06,71060,2017-05-31 17:58:22.627,2012-07-01 14:17:00.593,0,764,A06,,,N,1,2
98,A06S,71061,2017-05-31 17:58:27.317,2012-07-01 14:17:40.17,0,764S,A06,,,N,1,2
99,A07,71070,2017-05-31 17:58:06.97,2012-07-01 14:18:19.017,0,815,A07,,,N,1,2
100,A07S,71071,2017-05-31 17:58:11.507,2012-07-01 14:19:08.64,0,815S,A07,,,N,1,2
101,A08,71080,2017-05-31 17:57:56.4,2012-07-01 14:24:39.453,0,825,A08,,,N,1,2
102,A09,71090,2017-05-31 17:56:54.077,2012-07-01 14:25:40.933,0,830,A09,,,N,1,2
103,A10,71100,2017-05-31 17:56:45.41,2012-07-01 14:26:21.757,0,859-B,A10,,,N,1,2
104,A11,71110,2017-05-31 17:56:28.36,2012-07-01 14:26:47.17,0,915,A11,,,N,1,2
105,A11S,71111,2017-05-31 17:56:34.643,2012-07-01 14:27:12.737,0,915S,A11,,,N,1,2
106,A12,71120,2017-05-31 17:56:17.703,2012-07-01 14:27:43.61,0,935,A12,,,N,1,2
107,A12S,71121,2017-05-31 17:56:23.603,2012-07-01 14:28:25.31,0,935S,A12,,,N,1,2
108,A13,71130,2017-05-31 17:55:41.637,2012-07-01 14:28:54.513,0,1003,A13,,,N,1,2
109,A13S,71131,2017-05-31 17:55:58.767,2012-07-01 14:29:31.453,0,1003S,A13,,,N,1,2
110,A14,71140,2017-05-31 17:55:26.77,2012-07-01 14:30:09.72,0,1034,A14,,,N,1,2
111,A14S,71141,2017-05-31 17:55:32.053,2012-07-01 14:30:35.397,0,1034S,A14,,,N,1,2
112,A15,71150,2017-05-31 17:54:43.18,2012-07-01 14:31:15.287,0,1039GC,A15,,,N,1,2
113,A15J,71155,2017-05-31 17:55:17.41,2012-07-01 14:31:50.807,0,1039GCJ,A15,,,N,1,2
114,A15S,71151,2017-05-31 17:54:47.983,2012-07-01 14:32:37.607,0,1039GCS,A15,,,N,1,2
115,A16,71160,2017-05-31 17:54:26.177,2012-07-01 14:33:28.293,0,1082,A16,,,N,1,2
116,A16S,71161,2017-05-31 17:54:30.683,2012-07-01 14:34:05.95,0,1082S,A16,,,N,1,2
117,A17,71170,2017-05-31 17:54:14.397,2012-07-01 14:34:48.57,0,2005,A17,,,N,1,2
118,A17S,71171,2017-05-31 17:54:20.397,2012-07-01 14:35:18.803,0,2005S,A17,,,N,1,2
119,A18,71180,2017-05-31 17:53:46.77,2012-07-01 14:35:47.727,0,2026,A18,,,N,1,2
120,A18S,71181,2017-05-31 17:53:52.383,2012-07-01 14:36:15.417,0,2026S,A18,,,N,1,2
121,A19,71190,2017-05-31 17:53:34.33,2012-07-01 14:36:38.613,0,2077,A19,,,N,1,2
122,A19S,71191,2017-05-31 17:53:40.043,2012-07-01 14:37:05.257,0,2077S,A19,,,N,1,2
123,A20,71200,2017-05-31 17:53:25.48,2012-07-01 14:37:33.477,0,4056,A20,,,N,1,2
124,B46,72460,2017-05-31 17:23:37.58,2012-07-01 14:38:48.827,0,1038GC(MS),B46,,,N,1,2
125,B45,72450,2017-05-31 17:24:01.257,2012-07-01 14:39:39.493,0,2081GC(MX),B45,,,N,1,2
126,B44,72440,2017-05-31 17:24:23.293,2012-07-01 14:40:16.98,0,2057GC(ML),B44,,,N,1,2
