Id,MaterialId,OrgId,ProductOrg
220,19305,121,121
221,19305,85,85
226,43934,121,121
227,43943,121,121
228,43943,85,85
349,40790,208,85
350,40790,121,85
351,40790,192,85
352,40788,208,85
353,40788,121,85
354,40788,192,85
370,39288,208,85
371,39288,121,85
372,39288,192,85
373,39287,208,85
374,39287,121,85
375,39287,192,85
376,39286,208,85
377,39286,121,85
378,39286,192,85
379,39285,208,85
380,39285,121,85
381,39285,192,85
382,39284,208,85
383,39284,121,85
384,39284,192,85
385,39283,208,85
386,39283,121,85
387,39283,192,85
388,39282,208,85
389,39282,121,85
390,39282,192,85
391,39281,208,85
392,39281,121,85
393,39281,192,85
394,38401,208,85
395,38401,121,85
396,38401,192,85
397,38398,208,85
398,38398,121,85
399,38398,192,85
400,38395,208,85
401,38395,121,85
402,38395,192,85
403,38218,208,85
404,38218,121,85
405,38218,192,85
406,38143,208,85
407,38143,121,85
408,38143,192,85
409,38142,208,85
410,38142,121,85
411,38142,192,85
418,38111,208,85
419,38111,121,85
420,38111,192,85
421,38001,208,85
422,38001,121,85
423,38001,192,85
436,34411,208,85
437,34411,121,85
438,34411,192,85
451,43724,208,85
452,43724,121,85
453,43724,192,85
454,43723,208,85
455,43723,121,85
456,43723,192,85
457,43720,208,85
458,43720,121,85
459,43720,192,85
460,40759,208,85
461,40759,121,85
462,40759,192,85
463,40758,208,85
464,40758,121,85
465,40758,192,85
466,40756,208,85
467,40756,121,85
468,40756,192,85
469,40753,208,85
470,40753,121,85
471,40753,192,85
472,40750,208,85
473,40750,121,85
474,40750,192,85
475,40675,208,85
476,40675,121,85
477,40675,192,85
478,40673,208,85
479,40673,121,85
480,40673,192,85
481,43933,208,85
482,43933,121,85
483,43933,192,85
487,43811,208,85
488,43811,121,85
489,43811,192,85
490,43810,208,85
491,43810,121,85
492,43810,192,85
499,43794,208,85
500,43794,121,85
501,43794,192,85
553,41598,208,85
554,41598,121,85
555,41598,192,85
700,43796,208,85
701,43796,121,85
702,43796,192,85
703,43732,208,85
704,43732,121,85
705,43732,192,85
706,43731,208,85
707,43731,121,85
708,43731,192,85
709,43730,208,85
710,43730,121,85
711,43730,192,85
712,43729,208,85
713,43729,121,85
714,43729,192,85
718,43713,208,85
719,43713,121,85
720,43713,192,85
721,43712,208,85
722,43712,121,85
723,43712,192,85
724,43711,208,85
725,43711,121,85
726,43711,192,85
727,43710,208,85
728,43710,121,85
729,43710,192,85
730,43709,208,85
731,43709,121,85
732,43709,192,85
733,43708,208,85
734,43708,121,85
735,43708,192,85
736,43707,208,85
737,43707,121,85
738,43707,192,85
739,43693,208,85
740,43693,121,85
741,43693,192,85
742,43692,208,85
743,43692,121,85
744,43692,192,85
745,43691,208,85
746,43691,121,85
747,43691,192,85
748,43690,208,85
749,43690,121,85
750,43690,192,85
751,43689,208,85
752,43689,121,85
753,43689,192,85
754,43688,208,85
755,43688,121,85
756,43688,192,85
757,43687,208,85
758,43687,121,85
759,43687,192,85
760,43686,208,85
761,43686,121,85
762,43686,192,85
763,43685,208,85
764,43685,121,85
765,43685,192,85
766,43684,208,85
767,43684,121,85
768,43684,192,85
769,43683,208,85
770,43683,121,85
771,43683,192,85
772,43682,208,85
773,43682,121,85
774,43682,192,85
775,43681,208,85
776,43681,121,85
777,43681,192,85
778,43680,208,85
779,43680,121,85
780,43680,192,85
781,43679,208,85
782,43679,121,85
783,43679,192,85
784,43678,208,85
785,43678,121,85
786,43678,192,85
787,43677,208,85
788,43677,121,85
789,43677,192,85
790,43676,208,85
791,43676,121,85
792,43676,192,85
793,43668,208,85
794,43668,121,85
795,43668,192,85
796,40769,208,85
797,40769,121,85
798,40769,192,85
799,40764,208,85
800,40764,121,85
801,40764,192,85
802,40704,208,85
803,40704,121,85
804,40704,192,85
805,40695,208,85
806,40695,121,85
807,40695,192,85
808,40693,208,85
809,40693,121,85
810,40693,192,85
811,40691,208,85
812,40691,121,85
813,40691,192,85
817,40653,208,85
818,40653,121,85
819,40653,192,85
820,40651,208,85
821,40651,121,85
822,40651,192,85
823,40645,208,85
824,40645,121,85
825,40645,192,85
828,39635,208,85
829,39635,121,85
830,39635,192,85
831,41620,208,85
832,41620,121,85
833,41620,192,85
837,39637,208,85
838,39637,121,85
839,39637,192,85
843,41619,208,85
844,41619,121,85
845,41619,192,85
852,40786,208,85
853,40786,121,85
854,40786,192,85
855,40791,208,85
856,40791,121,85
857,40791,192,85
858,43105,208,85
859,43105,121,85
860,43105,192,85
915,41599,121,85
916,41599,192,85
917,41599,208,85
921,41600,121,85
922,41600,192,85
923,41600,208,85
927,40685,121,85
928,40685,192,85
929,40685,208,85
930,40687,121,85
931,40687,192,85
932,40687,208,85
933,40689,121,85
934,40689,192,85
935,40689,208,85
936,40700,121,85
937,40700,192,85
938,40700,208,85
939,40716,121,85
940,40716,192,85
941,40716,208,85
942,40718,121,85
943,40718,192,85
944,40718,208,85
945,40722,121,85
946,40722,192,85
947,40722,208,85
948,40727,121,85
949,40727,192,85
950,40727,208,85
951,40732,121,85
952,40732,192,85
953,40732,208,85
957,40679,121,85
958,40679,192,85
959,40679,208,85
960,40681,121,85
961,40681,192,85
962,40681,208,85
963,40684,121,85
964,40684,192,85
965,40684,208,85
966,40688,121,85
967,40688,192,85
968,40688,208,85
969,40697,121,85
970,40697,192,85
971,40697,208,85
972,40698,121,85
973,40698,192,85
974,40698,208,85
975,40701,121,85
976,40701,192,85
977,40701,208,85
978,40706,121,85
979,40706,192,85
980,40706,208,85
981,40709,121,85
982,40709,192,85
983,40709,208,85
984,40721,121,85
985,40721,192,85
986,40721,208,85
987,40724,121,85
988,40724,192,85
989,40724,208,85
990,40726,121,85
991,40726,192,85
992,40726,208,85
993,40730,121,85
994,40730,192,85
995,40730,208,85
996,40734,121,85
997,40734,192,85
998,40734,208,85
999,40738,121,85
1000,40738,192,85
1001,40738,208,85
1002,40731,121,85
1003,40731,192,85
1004,40731,208,85
1005,43658,121,85
1006,43658,192,85
1007,43658,208,85
1008,43659,121,85
1009,43659,192,85
1010,43659,208,85
1011,43660,121,85
1012,43660,192,85
1013,43660,208,85
1014,40743,121,85
1015,40743,192,85
1016,40743,208,85
1017,40745,121,85
1018,40745,192,85
1019,40745,208,85
1020,40749,121,85
1021,40749,192,85
1022,40749,208,85
1023,40752,121,85
1024,40752,192,85
1025,40752,208,85
1026,40757,121,85
1027,40757,192,85
1028,40757,208,85
1029,40761,121,85
1030,40761,192,85
1031,40761,208,85
1032,40762,121,85
1033,40762,192,85
1034,40762,208,85
1035,40767,121,85
1036,40767,192,85
1037,40767,208,85
1038,42420,121,85
1039,42420,192,85
1040,42420,208,85
1041,42421,121,85
